カテゴリ,店舗名,業態,施策,成果,キーワード
飲食店,スシロー,回転寿司,TikTok活用・原神コラボ,フォロワー10万人超・総再生数6764万回,"SNS,コラボ,ゲーム"
飲食店,塚田農場,居酒屋,ロイヤルティプログラム(役職昇格ポイントカード),顧客ロイヤルティ向上,"ポイント,リピーター"
飲食店,焼肉きんぐ,焼肉,アレンジメニューSNS紹介・TikTok公式活用,SNS拡散・集客増加,"SNS,TikTok,アレンジ"
飲食店,餃子の王将,餃子チェーン,調理動画のSNS投稿,フォロワー4.3万人,"SNS,動画,Instagram"
飲食店,ドミノ・ピザ,ピザデリバリー,Facebook動画投稿・TikTokクーポン隠し企画,エンゲージメント2倍以上,"Facebook,動画,TikTok"
飲食店,かねまる食堂,定食屋,Instagram漁港仕入れ動画,フォロワー13万人・動画50万回再生,"Instagram,動画,地域"
飲食店,函館五稜郭 茶寮,カフェ・甘味処,Instagram抹茶スイーツ投稿,1年でフォロワー10万人突破,"Instagram,スイーツ,観光"
飲食店,焼肉ちゃんぷ 吉祥寺店,焼肉,地域特化型インフルエンサータイアップ,集客増加,"インフルエンサー,地域特化"
飲食店,ほっともっと,弁当チェーン,TikTokトレンド企画活用,SNS拡散,"TikTok,トレンド"
飲食店,焼き鳥どん,焼鳥,TikTok「飲食店あるある」投稿,共感による拡散,"TikTok,あるある"
飲食店,個室 くずし肉割烹 とろにく,肉料理居酒屋,Instagram映えメニュー開発,インフルエンサー注目,"Instagram,映え,メニュー開発"
飲食店,pit master VAMOS 梅田,BBQレストラン,Instagram料理雑誌風投稿,ユーザー魅了,"Instagram,ビジュアル"
飲食店,ドープ,カフェ,UGC刺激する内装・居抜き物件活用,口コミ拡散,"UGC,内装,古民家"
飲食店,NO COFFEE,カフェ,Instagram自然増,設立前短期広告のみで多数フォロワー獲得,"Instagram,オーガニック"
飲食店,焼肉ライク,一人焼肉,新利用シーン開拓,一人焼肉市場確立,"業態開発,ソロ"
飲食店,関村牧場直送和牛 焼肉くらべこ,焼肉,インフルエンサー活用,若年層・遠方客獲得,"インフルエンサー,若年層"
飲食店,BOTEJYU Group,お好み焼き,LINE公式アカウント・クーポン配信,友だち49万人・クーポン開封率90%超,"LINE,クーポン"
飲食店,銀のさら,宅配寿司,LINE誕生月セグメント配信,クーポン反応率20%,"LINE,セグメント"
飲食店,ごちそう村,和食,LINE視覚重視クーポン,クーポン利用1300件超・売上14倍,"LINE,クーポン,ビジュアル"
飲食店,カラオケの鉄人,カラオケ,LINEアンケート型クーポン・ゲリラクーポン,開封率30%・行列形成,"LINE,アンケート,ゲリラ"
飲食店,千歳烏山 nope,中華×ワイン,ハイブリッド業態開発,小規模店舗で高売上,"業態開発,ハイブリッド"
飲食店,代官山 ダイカンヤマパンダ,中華×ワイン,ハイブリッド業態開発,スタイリッシュな空間で集客,"業態開発,ハイブリッド"
飲食店,自由が丘 立吞み中華 起率礼,中華×立ち飲み,ハイブリッド業態開発,気軽さと上質さの両立,"業態開発,立ち飲み"
飲食店,西荻窪 スタンドキッチン ルポン,中華×立ち飲み,ハイブリッド業態開発,集客成功,"業態開発,立ち飲み"
飲食店,鳥貴族,大衆酒場,少人数向け業態,パーソナルユース需要獲得,"業態,少人数"
飲食店,串カツ田中,串カツ,少人数向け業態,パーソナルユース需要獲得,"業態,少人数"
飲食店,某大手飲食店,飲食店,LINE公式アカウント導入,1ヶ月で売上100万円増,"LINE,売上増"
飲食店,チェーン店A,飲食店,Googleビジネスプロファイル最適化,MEO検索上位表示,"MEO,Google"
飲食店,カフェB,カフェ,Instagramハッシュタグ戦略,新規顧客獲得,"Instagram,ハッシュタグ"
飲食店,レストランC,レストラン,ポータルサイト複数登録,予約数増加,"ポータル,食べログ"
ナイト業態,League,キャバクラ,SNSクリーンイメージ運用,歌舞伎町一クリーンなイメージ確立,"SNS,ブランディング"
ナイト業態,キャバクラD,キャバクラ,黒服焦点SNS運用,求人活用成功,"SNS,求人"
ナイト業態,スナックE,スナック,YouTube店内紹介動画,来店前不安解消,"YouTube,動画"
ナイト業態,スナックF,スナック,TikTokショート動画,若年層認知向上,"TikTok,動画"
ナイト業態,銀座スナックG,スナック,Instagram人中心投稿,集客増加,"Instagram,人物"
ナイト業態,バーH,バー,Googleビジネスプロファイル登録,MEO検索上位・2-3軒目需要獲得,"MEO,Google,2軒目"
ナイト業態,バーI,バー,食べログ登録,ターゲット層集客,"ポータル,食べログ"
ナイト業態,バーJ,バー,Instagram雰囲気投稿,おしゃれイメージ確立,"Instagram,雰囲気"
ナイト業態,バーK,バー,外看板メニュー表示,入店障壁低下・新規客獲得,"オフライン,看板"
ナイト業態,バーL,バー,生演奏イベント開催,新規・リピーター増加,"イベント,音楽"
ナイト業態,スナックM,スナック,LINE公式アカウント・友だち登録特典,週1配信でリピーター獲得,"LINE,特典"
ナイト業態,スナックN,スナック,LINEポイントカード連携,リピーター率40%,"LINE,ポイント"
ナイト業態,スナックO,スナック,Facebook年齢層活用,近場検索需要獲得,"Facebook,地域"
ナイト業態,スナックP,スナック,Twitter既存顧客交流,関係性強化,"Twitter,交流"
ナイト業態,スナックQ,スナック,近隣飲食店コラボイベント,イベント集客,"イベント,コラボ"
ナイト業態,バーR,バー,紹介制度(紹介者・被紹介者特典),口コミ成約率10倍,"紹介,口コミ"
ナイト業態,バーS,バー,月替わり限定カクテル告知,LINE活用でリピーター獲得,"LINE,限定メニュー"
ナイト業態,バーT,バー,女性向け工夫,女性客増→男性客自然増,"ターゲット,女性"
ナイト業態,ラウンジU,ラウンジ,コンセプト明確化,競合との差別化,"コンセプト,差別化"
ナイト業態,ナイトクラブV,ナイトクラブ,音楽ジャンル差別化,ターゲット層獲得,"差別化,音楽"
ナイト業態,スナックW,スナック,ホットペッパー登録,新規客獲得,"ポータル,ホットペッパー"
ナイト業態,バーX,バー,Retty登録,ターゲット層マッチング,"ポータル,Retty"
ナイト業態,スナックY,スナック,手相占いイベント,イベント集客,"イベント,占い"
ナイト業態,バーZ,バー,VIP特典設定,常連客優遇・ロイヤルティ向上,"VIP,ロイヤルティ"
ナイト業態,スナックAA,スナック,カラオケ大会開催,参加型イベント成功,"イベント,カラオケ"
ナイト業態,バーAB,バー,質の高い人材採用,サービス品質向上,"人材,品質"
ナイト業態,ナイトクラブAC,ナイトクラブ,年齢層ターゲティング,ターゲット明確化,"ターゲット,年齢層"
ナイト業態,ラウンジAD,ラウンジ,Instagram Reels活用,ショート動画拡散,"Instagram,Reels"
ナイト業態,スナックAE,スナック,ママの人柄動画発信,親近感醸成,"YouTube,人物"
ナイト業態,バーAF,バー,カクテル作成過程動画,技術アピール,"Instagram,技術"
